"","minutes","miles","uqlatlongid"
"129",5.81666666666667,1.642904924,"42.246604+-70.976736+42.251908+-71.0052"
"130",5.6,0.454843572,"42.246703+-71.000757+42.251696+-71.004973"
"131",14.25,3.062116288,"42.247442+-71.033538+42.251847+-71.005168"
"132",2.16666666666667,0.823316575,"42.248184+-70.982677+42.250287+-70.998273"
"133",2.9,1.03768957,"42.248184+-70.982677+42.251388+-71.002227"
"134",4.5,1.319792004,"42.248184+-70.982677+42.251908+-71.0052"
"135",4.28333333333333,0.910308515,"42.248304+-70.925393+42.244064+-70.942085"
"136",6.63333333333333,0.320006065,"42.248397+-71.001703+42.251847+-71.005168"
"137",17.5333333333333,3.787256245,"42.248593+-71.126826+42.300479+-71.113634"
"138",1.86666666666667,0.709605682,"42.248696+-70.984785+42.250287+-70.998273"
"139",2.96666666666667,0.973688357,"42.248696+-70.984785+42.2516+-71.003123"
"140",4.21666666666667,1.206081111,"42.248696+-70.984785+42.251908+-71.0052"
"141",28.5833333333333,6.407577752,"42.248742+-71.002111+42.172496+-71.010689"
"142",4.2,0.270296385,"42.248742+-71.002111+42.245262+-71.000078"
"143",4.08333333333333,1.127166994,"42.248996+-70.986294+42.251908+-71.0052"
"144",1.41666666666667,0.064001213,"42.249055+-70.988986+42.249043+-70.987718"
"145",3.5,1.001028681,"42.249128+-70.988727+42.251908+-71.0052"
"146",17.4166666666667,5.075358328,"42.249236+-70.912221+42.251908+-71.0052"
"147",7,1.865977113,"42.2493+-70.990435+42.242602+-70.955925"
"148",3.35,0.926464161,"42.249351+-70.990169+42.251908+-71.0052"
"149",19.7166666666667,5.547600288,"42.24939+-70.9032+42.251908+-71.0052"
"150",4.45,0.224936302,"42.249637+-71.00278+42.251847+-71.005168"
"151",3.2,0.83885085,"42.249647+-70.991856+42.251908+-71.0052"
"152",3.03333333333333,0.777956492,"42.249797+-70.99301+42.251908+-71.0052"
"153",2.51666666666667,0.57787503,"42.249954+-70.996875+42.251908+-71.0052"
"154",8.35,2.290373506,"42.250266+-70.998546+42.242602+-70.955925"
"155",5.9,1.184954497,"42.250266+-70.998546+42.246413+-70.976365"
"156",2.33333333333333,0.502689139,"42.250287+-70.998273+42.251908+-71.0052"
"157",2.41666666666667,0.296393967,"42.251388+-71.002227+42.251908+-71.0052"
"158",2.91666666666667,0.158449605,"42.251487+-71.002208+42.253014+-70.999958"
"159",11.4833333333333,3.617000591,"42.251507+-71.036493+42.284195+-71.063879"
"160",1.3,0.247927029,"42.2516+-71.003123+42.251772+-71.005099"
"161",1.3,0.247927029,"42.2516+-71.003123+42.251908+-71.0052"
"162",33.1833333333333,7.250778199,"42.251696+-71.004973+42.184146+-70.955445"
"163",32.2666666666667,7.045104398,"42.251696+-71.004973+42.187111+-70.955589"
"164",8.45,3.229886458,"42.251696+-71.004973+42.207743+-71.00107"
"165",23.9666666666667,4.659039758,"42.251696+-71.004973+42.208469+-70.957953"
"166",29.3166666666667,7.360139495,"42.251696+-71.004973+42.220488+-71.023648"
"167",12.6166666666667,1.721819041,"42.251696+-71.004973+42.238768+-70.983822"
"168",14.75,1.806946868,"42.251696+-71.004973+42.239895+-70.98404"
"169",11.25,1.412376283,"42.251696+-71.004973+42.240848+-70.989118"
"170",9.71666666666667,1.030854489,"42.251696+-71.004973+42.242761+-70.996087"
"171",8.53333333333333,0.720168989,"42.251696+-71.004973+42.245845+-71.000491"
"172",6.46666666666667,0.501446397,"42.251696+-71.004973+42.248742+-71.002111"
"173",12.8833333333333,2.487348113,"42.251696+-71.004973+42.256313+-71.033465"
"174",3.6,0.172741138,"42.251772+-71.005099+42.251487+-71.002208"
"175",6.63333333333333,0.693450036,"42.251772+-71.005099+42.255316+-70.996877"
"176",13.0833333333333,3.05714532,"42.251772+-71.005099+42.26563+-70.960342"
"177",13.2666666666667,3.103748145,"42.251772+-71.005099+42.265684+-70.959414"
"178",12.5,2.858927971,"42.251772+-71.005099+42.265991+-70.96421"
"179",7.75,3.192604198,"42.251809+-71.005409+42.207481+-71.00164"
