"","minutes","miles","uqlatlongid"
"147",35.45,11.192134452,"42.239085+-71.132172+42.362434+-71.085591"
"148",3.36666666666667,0.754965765,"42.23944+-71.016616+42.233238+-71.007244"
"149",25.6333333333333,13.73851281,"42.23944+-71.016616+42.345088+-71.104843"
"150",38.7333333333333,14.803542704,"42.23944+-71.016616+42.3884+-71.119149"
"151",8.15,1.830558966,"42.240337+-70.983788+42.251696+-71.004973"
"152",22.3,10.757174752,"42.240337+-70.983788+42.352271+-71.055242"
"153",23.55,11.056675574,"42.240464+-70.987378+42.352271+-71.055242"
"154",11.9333333333333,3.613272365,"42.240551+-70.944069+42.251908+-71.0052"
"155",25.2166666666667,11.107627996,"42.241031+-71.003354+42.361269+-71.071678"
"156",7.6,3.197575166,"42.241764+-70.944077+42.208469+-70.957953"
"157",11.65,3.383365095,"42.241764+-70.944077+42.251908+-71.0052"
"158",32.3833333333333,12.690881304,"42.241764+-70.944077+42.355518+-71.060225"
"159",16.5,4.941142192,"42.241968+-71.003612+42.280436+-71.065696"
"160",6.38333333333333,1.1184678,"42.242025+-71.003462+42.251847+-71.005168"
"161",21.8166666666667,10.6254441,"42.242281+-70.983694+42.352271+-71.055242"
"162",7.26666666666667,1.43536701,"42.242378+-71.015376+42.251847+-71.005168"
"163",38.6,14.767503186,"42.242378+-71.015376+42.3884+-71.119149"
"164",17.0166666666667,4.87776235,"42.242465+-71.177777+42.272702+-71.1203"
"165",16.6333333333333,4.623621611,"42.242465+-71.177777+42.279888+-71.119028"
"166",17.5,4.775857506,"42.242465+-71.177777+42.285028+-71.119007"
"167",19.4166666666667,6.757409625,"42.242465+-71.177777+42.300749+-71.114314"
"168",7.93333333333333,1.547835161,"42.242543+-71.017446+42.251847+-71.005168"
"169",30.45,12.075102643,"42.242708+-70.955691+42.355518+-71.060225"
"170",13.75,8.998694822,"42.242739+-71.019661+42.352271+-71.055242"
"171",30.5666666666667,12.126055065,"42.242769+-70.954695+42.355518+-71.060225"
"172",23.8333333333333,11.741426416,"42.2428+-70.954102+42.352271+-71.055242"
"173",31.5666666666667,13.612995868,"42.242873+-70.996075+42.362434+-71.085591"
"174",10.2166666666667,3.020484431,"42.243008+-70.950785+42.251908+-71.0052"
"175",18.1,8.651348433,"42.243258+-71.02302+42.352271+-71.055242"
"176",6.73333333333333,1.722440412,"42.243497+-71.1339+42.258812+-71.117831"
"177",31.35,13.526625299,"42.243836+-70.994047+42.362434+-71.085591"
"178",0.316666666666667,0.164041944,"42.243889+-71.176684+42.241888+-71.178422"
"179",31.9833333333333,12.778494615,"42.244064+-70.942085+42.355518+-71.060225"
"180",41.6333333333333,17.591634381,"42.244102+-70.883973+42.35639457+-71.0624242"
"181",5.8,0.999164568,"42.24419+-71.002731+42.251847+-71.005168"
"182",24.0333333333333,11.269805827,"42.24419+-71.002731+42.366933+-71.068093"
"183",2.11666666666667,0.82642343,"42.244321+-70.940195+42.248136+-70.925221"
"184",17.4166666666667,8.524588749,"42.244347+-71.024941+42.352271+-71.055242"
"185",11.5333333333333,3.585932041,"42.244496+-70.939946+42.251908+-71.0052"
"186",17.0166666666667,8.423926647,"42.244947+-71.026739+42.352271+-71.055242"
"187",16.3666666666667,8.160465343,"42.245431+-71.031821+42.352271+-71.055242"
"188",17.5166666666667,4.714341777,"42.245679+-71.174957+42.272702+-71.1203"
"189",12.8666666666667,3.618864704,"42.24645+-71.0327+42.28449+-71.063878"
"190",28.1166666666667,10.939857826,"42.246604+-70.976736+42.355518+-71.060225"
"191",28.6,11.978790138,"42.246703+-71.000757+42.362434+-71.085591"
"192",30.5,13.11714181,"42.246703+-71.000757+42.365379+-71.103554"
"193",8.48333333333333,2.221401325,"42.247442+-71.033538+42.251847+-71.005168"
"194",2.71666666666667,0.818966978,"42.248184+-70.982677+42.250287+-70.998273"
"195",6.16666666666667,1.309228697,"42.248184+-70.982677+42.251908+-71.0052"
"196",20.6333333333333,10.230252144,"42.248184+-70.982677+42.352271+-71.055242"
"197",2.1,0.905337547,"42.248304+-70.925393+42.244064+-70.942085"
"198",23.15,10.688823942,"42.248397+-71.001703+42.361269+-71.071678"
"199",29.9666666666667,12.909603896,"42.248397+-71.001703+42.365379+-71.103554"
"200",13.5333333333333,5.085300264,"42.248593+-71.126826+42.298067+-71.130313"
"201",13.55,3.681623175,"42.248593+-71.126826+42.300479+-71.113634"
"202",2.28333333333333,0.705256085,"42.248696+-70.984785+42.250287+-70.998273"
"203",5.73333333333333,1.196139175,"42.248696+-70.984785+42.251908+-71.0052"
"204",20.85,10.204775933,"42.248696+-70.984785+42.352271+-71.055242"
"205",15.45,6.420005172,"42.248742+-71.002111+42.172496+-71.010689"
"206",20.6,10.125240445,"42.248996+-70.986294+42.352271+-71.055242"
"207",27.4,10.539694902,"42.248996+-70.986294+42.355518+-71.060225"
"208",0.15,0.064001213,"42.249055+-70.988986+42.249043+-70.987718"
"209",5.16666666666667,0.991086745,"42.249128+-70.988727+42.251908+-71.0052"
"210",15.15,5.066037763,"42.249236+-70.912221+42.251908+-71.0052"
"211",36.4666666666667,15.472759271,"42.249236+-70.912221+42.35639457+-71.0624242"
"212",4.71666666666667,1.857277919,"42.2493+-70.990435+42.242602+-70.955925"
"213",31.7,16.957835961,"42.249351+-70.990169+42.286077+-71.145052"
"214",37.5833333333333,15.94437986,"42.24939+-70.9032+42.35639457+-71.0624242"
"215",3.8,0.672323422,"42.249637+-71.00278+42.251847+-71.005168"
"216",28.9166666666667,12.810184536,"42.249637+-71.00278+42.365379+-71.103554"
"217",30.2166666666667,13.071160356,"42.249637+-71.00278+42.373362+-71.118956"
"218",31.45,16.866494424,"42.249647+-70.991856+42.286077+-71.145052"
"219",35.5833333333333,11.65691996,"42.249647+-70.991856+42.293742+-71.139006"
"220",31.3,16.809328292,"42.249797+-70.99301+42.286077+-71.145052"
"221",30.6833333333333,16.609868201,"42.249954+-70.996875+42.286077+-71.145052"
"222",30.8833333333333,16.693131915,"42.249954+-70.996875+42.286108+-71.143403"
"223",7.28333333333333,2.532708196,"42.250266+-70.998546+42.242602+-70.955925"
"224",5.06666666666667,1.427289187,"42.250266+-70.998546+42.246413+-70.976365"
"225",3.45,0.490261719,"42.250287+-70.998273+42.251908+-71.0052"
"226",30.15,16.533439568,"42.250287+-70.998273+42.286077+-71.145052"
"227",30.5833333333333,16.525361745,"42.250287+-70.998273+42.287193+-71.14999"
"228",34.9833333333333,12.325515156,"42.250287+-70.998273+42.293151+-71.149288"
"229",2.11666666666667,0.274645982,"42.251388+-71.002227+42.251908+-71.0052"
"230",31.0166666666667,8.797991989,"42.251388+-71.002227+42.286077+-71.145052"
"231",34.0166666666667,10.616123535,"42.251388+-71.002227+42.287193+-71.14999"
"232",23.3166666666667,8.423926647,"42.251507+-71.036493+42.337875+-71.09524"
"233",32.3,9.058346438,"42.2516+-71.003123+42.287193+-71.14999"
"234",8.48333333333333,1.639176698,"42.251696+-71.004973+42.240848+-70.989118"
"235",6.46666666666667,0.716440763,"42.251696+-71.004973+42.245845+-71.000491"
"236",7.66666666666667,1.811917836,"42.251696+-71.004973+42.256313+-71.033465"
"237",3.06666666666667,0.300743564,"42.251772+-71.005099+42.251487+-71.002208"
"238",10.1166666666667,3.031669109,"42.251772+-71.005099+42.26563+-70.960342"
"239",10.2166666666667,3.078271934,"42.251772+-71.005099+42.265684+-70.959414"
"240",9.7,2.832830389,"42.251772+-71.005099+42.265991+-70.96421"
"241",12.7166666666667,4.02027037,"42.251809+-71.005409+42.207481+-71.00164"
"242",8.38333333333333,1.695100088,"42.251809+-71.005409+42.233391+-71.007153"
"243",26.55,14.506527366,"42.251809+-71.005409+42.260206+-71.158675"
"244",26.7666666666667,14.574878176,"42.251809+-71.005409+42.260813+-71.159719"
"245",28.3333333333333,14.914768113,"42.251809+-71.005409+42.263045+-71.155462"
"246",28.7833333333333,15.11795643,"42.251809+-71.005409+42.266298+-71.151819"
"247",12.2,2.533950938,"42.251809+-71.005409+42.275783+-71.030184"
"248",31.2,8.468665359,"42.251809+-71.005409+42.286195+-71.139544"
"249",27,7.56829878,"42.251809+-71.005409+42.300523+-71.113686"
"250",16,5.753274089,"42.251809+-71.005409+42.320563+-71.052251"
"251",19.4833333333333,6.792206401,"42.251809+-71.005409+42.330154+-71.057655"
"252",30.3833333333333,9.423091215,"42.251809+-71.005409+42.33374+-71.105721"
"253",36.7666666666667,11.071588478,"42.251809+-71.005409+42.335196+-71.148366"
"254",28.55,9.081958536,"42.251809+-71.005409+42.33608+-71.099883"
"255",28.2166666666667,8.830303281,"42.251809+-71.005409+42.336377+-71.088961"
